----------------Q1/Q2.-----------------
total_vertexes = 1000
> Initialization...
> Huffman Coding...
> Huffman Coding Result : 
301 : 0000111001, length = 10
302 : 0001010101, length = 10
303 : 111110111, length = 9
304 : 01010100101011, length = 14
305 : 01011001100, length = 11
306 : 010110111100, length = 12
307 : 0011110000, length = 10
308 : 1110101000, length = 10
309 : 111010010, length = 9
310 : 0111011010, length = 10
311 : 010101101100101, length = 15
312 : 10110110101, length = 11
313 : 011001101110001, length = 15
314 : 01100101101, length = 11
315 : 001111100110, length = 12
316 : 000001101100, length = 12
317 : 0110001011, length = 10
318 : 001101001100, length = 12
319 : 001011010, length = 9
320 : 111111000, length = 9
321 : 0010010010, length = 10
322 : 0000000001, length = 10
323 : 111111101100, length = 12
324 : 0111111101, length = 10
325 : 100110010, length = 9
326 : 0100000000, length = 10
327 : 00111111111, length = 11
328 : 011110110111, length = 12
329 : 0111001000, length = 10
330 : 100110000, length = 9
331 : 100110110101, length = 12
332 : 0101100100, length = 10
333 : 0101101100, length = 10
334 : 01100100000, length = 11
335 : 1111111010, length = 10
336 : 01101110011, length = 11
337 : 000100100, length = 9
338 : 111000111, length = 9
339 : 001101100110, length = 12
340 : 0111011101, length = 10
341 : 01111110001, length = 11
342 : 001100111, length = 9
343 : 01110011101, length = 11
344 : 011010010100, length = 12
345 : 01011100110, length = 11
346 : 01000111110, length = 11
347 : 1111000111, length = 10
348 : 0101111010, length = 10
349 : 0110000101, length = 10
350 : 0101100001110, length = 13
351 : 1001101111, length = 10
352 : 10000100111, length = 11
353 : 0100010010, length = 10
354 : 01001100100, length = 11
355 : 1000011101, length = 10
356 : 1110000001110100, length = 16
357 : 0101001110, length = 10
358 : 0110111101, length = 10
359 : 0001011100, length = 10
360 : 0111101011, length = 10
361 : 00111010001, length = 11
362 : 001010011, length = 9
363 : 0111101010, length = 10
364 : 0100101001, length = 10
365 : 00111100011, length = 11
366 : 001100101110, length = 12
367 : 1100000010011, length = 13
368 : 001000101110, length = 12
369 : 101111111, length = 9
370 : 111010101, length = 9
371 : 0111001111001011, length = 16
372 : 0001011000, length = 10
373 : 00111100010, length = 11
374 : 000101111, length = 9
375 : 0110101100010, length = 13
376 : 1100111111, length = 10
377 : 0101101000, length = 10
378 : 00111110100, length = 11
379 : 100010001, length = 9
380 : 001101010100, length = 12
381 : 0110011001, length = 10
382 : 0100111100110001, length = 16
383 : 1101000101111, length = 13
384 : 0110011100, length = 10
385 : 01010110011, length = 11
386 : 0110101101, length = 10
387 : 0111011011, length = 10
388 : 0001110110, length = 10
389 : 0001111101, length = 10
390 : 0111010101, length = 10
391 : 100000000, length = 9
392 : 0101001001, length = 10
393 : 0011101011, length = 10
394 : 100101110, length = 9
395 : 000001111, length = 9
396 : 000011010, length = 9
397 : 11101010010, length = 11
398 : 111110101, length = 9
399 : 01100101111, length = 11
400 : 00110101011, length = 11
401 : 00000101110, length = 11
402 : 001010101, length = 9
403 : 101011101, length = 9
404 : 0111010000, length = 10
405 : 11111110111, length = 11
406 : 101000100, length = 9
407 : 00000100000, length = 11
408 : 00111010101, length = 11
409 : 0100010011, length = 10
410 : 0100000011, length = 10
411 : 110100011, length = 9
412 : 10000011100, length = 11
413 : 110110110, length = 9
414 : 100110110100, length = 12
415 : 0110001010, length = 10
416 : 000010110, length = 9
417 : 01010001011, length = 11
418 : 001000011, length = 9
419 : 00000010001, length = 11
420 : 0111001010, length = 10
421 : 0001010100, length = 10
422 : 1110010110, length = 10
423 : 001011000, length = 9
424 : 001010010, length = 9
425 : 0001110111, length = 10
426 : 0100111110, length = 10
427 : 10001110001, length = 11
428 : 1010101100, length = 10
429 : 0010101100, length = 10
430 : 001011110, length = 9
431 : 100100100001, length = 12
432 : 00110111111, length = 11
433 : 001111111100, length = 12
434 : 000110111, length = 9
435 : 1110000000, length = 10
436 : 11101011110, length = 11
437 : 110101100, length = 9
438 : 0110000110, length = 10
439 : 0000100100, length = 10
440 : 000000010, length = 9
441 : 110001011, length = 9
442 : 110000000, length = 9
443 : 1010000011, length = 10
444 : 100100101, length = 9
445 : 0101001011, length = 10
446 : 01101001110, length = 11
447 : 1010010001, length = 10
448 : 01001111001100100, length = 17
449 : 1111101100, length = 10
450 : 101100011, length = 9
